농월정,고도(농월정),농월정_1,깊이(농월정),농월정_2,경사도(농월정),옥계리,고도(옥계리),옥계리_1,깊이(옥계리),옥계리_2,경사도(옥계리),용추,고도(용추),용추_1,깊이(용추),용추_2,경사도(용추),신선계곡,고도(신선계곡),신선계곡_1,깊이(신선계곡),신선계곡_2,경사도(신선계곡),하옥계곡,고도(하옥계곡),하옥계곡_1,깊이(하옥계곡),하옥계곡_2,경사도(하옥계곡),요강소,고도(요강소),요강소_1,깊이(요강소),요강소_2,경사도(요강소),용소폭포,고도(용소폭포),용소폭포_1,깊이(용소폭포),용소폭포_2,경사도(용소폭포)
,,1236.245503,256.6878967,1236.245503,2.698999882,1220.927774,163.8465576,1087.727906,219.6139984,1087.727906,0,1316.097637,167.080368,1220.96955,99.21790314,1220.96955,25.19790077,,,1120.596713,132.4085999,1120.596713,3.931099892,,,,,,,727.2228818,365.6094971,661.0760821,37.13169861,661.0760821,21.8185997,,,1287.37751,363.5723877,1287.37751,0.95480001
,,1268.95707,282.5638123,1268.95707,2.698999882,1252.555705,210.4268036,1100.748536,219.6139984,1100.748536,0,1369.114814,164.6424255,1258.261827,155.5735931,1258.261827,19.74869919,,,1155.100784,160.3762054,1155.100784,0.95480001,,,,,,,,,681.2970544,37.18669891,681.2970544,28.98760033,,,1327.808535,320.7123108,1327.808535,5.788799763
,,1301.668637,305.4482117,1301.668637,1.350200057,1269.782097,163.589447,1124.805955,207.0608978,1124.805955,0,1445.258656,166.8534393,1275.13302,197.2286072,1275.13302,21.86989975,,,1189.604854,176.6829071,1189.604854,0,,,,,,,,,711.5358525,61.29510117,711.5358525,23.02149963,,,1368.239559,298.8461914,1368.239559,9.462300301
,,1334.380204,292.6665955,1334.380204,0,1332.230095,163.589447,1137.991875,219.5914001,1137.991875,0,1518.357978,155.006012,1296.149927,218.858902,1296.149927,2.134299994,,,,,,,,,,,,,,,727.2228818,61.29510117,727.2228818,23.02149963,,,1408.670583,294.1426086,1408.670583,9.508700371
,,1368.749022,328.0315857,1368.749022,0,1355.428973,160.9116211,1170.253375,216.1226959,1170.253375,3.814100027,1587.573105,155.006012,1316.097637,218.858902,1316.097637,2.134299994,,,,,,,,,,,,,,,,,,,,,1449.101608,323.4159851,1449.101608,7.652999878
,,1403.117839,332.2815857,1403.117839,0,1406.632518,160.9116211,1203.91661,216.9367065,1203.91661,0,,,1369.114814,185.0258942,1369.114814,7.652999878,,,,,,,,,,,,,,,,,,,,,1489.484043,321.4634094,1489.484043,0.95480001
,,1444.229958,337.5445862,1444.229958,0,1441.535821,160.9116211,1220.927774,186.8907928,1220.927774,0,,,1407.186735,149.4542999,1407.186735,15.04240036,,,,,,,,,,,,,,,,,,,,,1529.866478,355.7980957,1529.866478,5.550700188
,,1485.342076,337.2908936,1485.342076,0,1497.609734,168.4058228,1252.555705,181.9161072,1252.555705,0,,,1445.258656,156.9945068,1445.258656,9.736800194,,,,,,,,,,,,,,,,,,,,,1570.248913,337.8779907,1570.248913,4.044700146
,,1519.264951,334.096405,1519.264951,0,1541.293364,168.4058228,1269.782097,199.7108002,1269.782097,0,,,1481.808317,168.0223999,1481.808317,9.736800194,,,,,,,,,,,,,,,,,,,,,1610.631348,312.0086975,1610.631348,4.763599873
,,1575.488989,337.6687012,1575.488989,0,1612.91442,170.4859619,1332.230095,144.764801,1332.230095,11.03849983,,,1518.357978,137.9922028,1518.357978,16.22870064,,,,,,,,,,,,,,,,,,,,,1662.130786,299.8724976,1662.130786,6.853199959
