wtrplay_plc_nm,ctprvn_nm,sgg_nm,emd_nm,detail_plcnm,adres,wtrplay_plc_type,wtrplay_sec,wtrplay_deep,wtrplay_deep_avg,year_visitor,acdt_co,x,y,manage_type,manage_at
늑천정,경상북도,문경시,농암면,심원사 계곡,경상북도 문경시  농암면  내서리 687-4,계곡,40,2,1,1,1,14241869.99,4379465.029,일반지역,2
선유동계곡,경상북도,문경시,가은읍,선유동계곡,경상북도 문경시 가은읍 완장리 산 103,계곡,100,2,1,1,0,14245786.39,4393241.588,일반지역,2
쌍용폭포,경상북도,문경시,농암면,쌍용폭포,경상북도 문경시 농암면 내서리 산6,계곡,80,5,3,1,2,14243300.49,4379147.343,일반지역,2
동산계곡,경상북도,군위군,부계면,동산계곡,경상북도 군위군 부계면 동산리 1677,계곡,2500.0,2,0.5,2,0,14323688.19,4306094.768,일반지역,2
빙계계곡 1구역,경상북도,의성,춘산면,빙계계곡 1구역,경상북도 의성 춘산면 빙계리 1017-5,계곡,200,3,1.4,8,1,14334560.76,4332940.69,중점관리지역,1
빙계계곡 2구역,경상북도,의성,춘산면,빙계계곡 2구역,경상북도 의성 춘산면 빙계리 1005-2,계곡,200,3,1.4,7,0,14333219.97,4332195.075,중점관리지역,1
얼음골,경상북도,청송군,주왕산면,얼음골,경상북도 청송군 부동면 내룡리 1,계곡,500,1,1,1,0,14385134.13,4344354.363,일반지역,2
수하계곡,경상북도,영양군,수비면,수하계곡,경상북도 영양군 수비면 수하리 240-1,계곡,200,2,1,3,1,14390436.15,4416515.545,일반지역,2
본신계곡,경상북도,영양군,수비면,본신계곡,경상북도 영양군 수비면  신원리 산26-14,계곡,50,2,1,0,0,14388450.79,4406018.612,일반지역,2
송하계곡,경상북도,영양군,수비면,송하계곡,경상북도 영양군 수비면 송하리 122-3,계곡,50,2,1,2,0,14383291.02,4396534.107,일반지역,2
삼의계곡,경상북도,영양군,석보면,삼의계곡,경상북도 영양군 석보면  삼의리 181-4,계곡,50,2,1,2,0,14384053.29,4372798.969,일반지역,2
번동입구,경상북도,영양군,수비면,번동입구,경상북도 영양군 수비면  수하리 671-6,계곡,20,2,1,1,0,14387568.23,4410840.816,일반지역,2
무지개숲,경상북도,영덕군,달산면,매일교앞,경상북도 영덕군 달산면  흥기리 935,계곡,null,3,1,4,0,14394247.24,4352138.58,일반지역,2
옥계계곡,경상북도,영덕군,달산면,옥계리입구,경상북도 영덕군 달산면  옥계리 232,계곡,null,3,1,35,4,14389624,4346241.508,중점관리지역,1
오천솔밭,경상북도,영덕군,지품면,구 오천초등학교 앞,경상북도 영덕군 지품면 오천리 165-4,계곡,null,4,2,15,0,14396699.05,4359336.34,일반지역,2
용추계곡,경상북도,영덕군,지품면,용추휴게소뒤,경상북도 영덕군 지품면 신안리 511,계곡,null,3,2,3,0,14390455.74,4362510.794,일반지역,2
삼계계곡(산골물소리펜션),경상북도,청도군,운문면,삼계계곡,경상북도 청도군 운문면 신원리 449,계곡,50,1,0.8,3,0,14358231.38,4256769.401,일반지역,2
석천계곡,경상북도,봉화,봉화,석천계곡,경상북도 봉화군 봉화읍 삼계리 180-2,계곡,500,2,1,1,0,14330901.04,4425203.245,일반지역,2
사미정계곡,경상북도,봉화,법전,사미정계곡,경상북도 봉화군 법전면 소천리 942,계곡,120,1,1,1,0,14352097.51,4423651.673,일반지역,2
고선계곡마방,경상북도,봉화,소천,마방캠핑장 인근,경상북도 봉화군 소천면 고선리 502,계곡,300,2,1,1,0,14356517.68,4437058.998,일반지역,2
고선계곡황토,경상북도,봉화,소천,구마황토민박 인근,경상북도 봉화군 소천면 고선리 산 37-16,계곡,1000.0,2,1,1,0,14354795.8,4438187.862,일반지역,2
고선계곡구마동,경상북도,봉화,소천,구마동민박 인근,경상북도 봉화군 소천면 고선리 559,계곡,200,2,1,1,1,14353103.91,4441012.269,중점관리지역,1
굴구지,경상북도,울진군,근남면,구고교 인근,경상북도 울진군 근남면 구산리 1275-1,계곡,300,2,1,5,0,14399074.17,4428721.597,일반지역,2
백발소,경상북도,울진군,근남면,생태탐방로 입구,경상북도 울진군 근남면 구산리 1236-1,계곡,100,3,2,2,0,14400026.82,4430879.019,일반지역,2
두전,경상북도,울진군,근남면,구산4교 인근,경상북도 울진군 근남면 구산리 1212-1,계곡,200,2,1,1,0,14400087.01,4431333.746,일반지역,2
행곡야영장,경상북도,울진군,근남면,행곡3리 야영장,경상북도 울진군 근남면 행곡리 산110,계곡,300,3,1,2,0,14397602.09,4435148.793,일반지역,2
대장동계곡,경상남도,진해구,웅동1동,대장동계곡,경상남도 창원시 진해구 대장동 246,계곡,1000.0,3,1,10,0,14335525.07,4183725.954,일반지역,2
장척계곡,경상남도,김해시,상동면,솔향기펜션 앞,경상남도 김해시 상동면 묵방리 산30-1,계곡,60,1,1,12,0,14351671.5,4202988.064,일반지역,2
신안계곡,경상남도,김해시,관동동,기독교 수양관 위쪽,경상남도 김해시 관동동 1007-1,계곡,50,1,1,9,0,14336478.56,4187680.441,일반지역,2
대청계곡,경상남도,김해시,대청동,장유폭포 앞,경상남도 김해시 대청동 산69-8,계곡,60,2,1,12,1,14334632.45,4189760.102,중점관리지역,1
호박소(얼음골지내),경상남도,밀양시,산내면,호박소,경상남도 밀양시 산내면 삼양리 산11-1,계곡,165,5,1,4,1,14359967.49,4244427.701,중점관리지역,1
석골사,경상남도,밀양시,산내면,석골사 계곡,경상남도 밀양시 산내면 원서리 산190,계곡,30,2,1,1,0,14352130.85,4247768.562,일반지역,2
호박소구름다리(얼음골지내),경상남도,밀양시,산내면,호박소 구름다리,경상남도 밀양시 산내면 삼양리 24,계곡,30,3,2,5,0,14359987.62,4243890.635,일반지역,2
형제소(얼음골지내),경상남도,밀양시,산내면,형제소,경상남도 밀양시 산내면 삼양리 산7-3 옆,계곡,30,3,2,5,0,14360419.48,4244447.619,일반지역,2
백연사 계곡(얼음골지내),경상남도,밀양시,산내면,백연사계곡,경상남도 밀양시 산내면 삼양리 29전 옆,계곡,100,2,1,3,0,14359775.23,4243780.526,일반지역,2
표충사야영장,경상남도,밀양시,단장면,표충사야영장,경상남도 밀양시 단장면 구천리 310,계곡,50,2,1,7,0,14354181.85,4236488.722,일반지역,2
매바위 상,경상남도,밀양시,단장면,매바위 상,경상남도 밀양시 단장면 구천리 212-1,계곡,30,2,1,2,0,14355133.81,4236555.956,일반지역,2
매바위 하,경상남도,밀양시,단장면,매바위 하,경상남도 밀양시 단장면 구천리 212-1,계곡,30,2,1,3,0,14355133.81,4236555.956,일반지역,2
동면 금산리 계곡,경상남도,양산시,동면,금산2길 51 가정집 사잇길,경상남도 양산시 동면 금산리 472,계곡,5,2,1,0,0,14363472.54,4205260.044,일반지역,2
